Año;Códgo SIES;Matrícula Primer Año;Matrícula primer año hombres;Matrícula primer año mujeres;Retención;Vacantes (1);Matrícula Total Cohorte Año Anterior
2016;I71S1C44J1V1;35.0;16.0;19.0;0.942857143;30.0;33.0
2016;I71S1C35J1V1;39.0;31.0;8.0;0.641025641;50.0;25.0
2016;I71S1C24J1V1;;57.0;9.0;;40.0;
2016;I71S1C25J1V1;;96.0;7.0;;75.0;
2016;I71S1C27J1V1;52.0;31.0;21.0;0.634615385;45.0;33.0
2016;I71S1C31J1V1;;63.0;33.0;;90.0;
2016;I71S1C28J1V1;58.0;46.0;12.0;0.844827586;45.0;49.0
2016;I71S1C29J1V1;89.0;64.0;25.0;0.93258427;60.0;83.0
2016;I71S1C32J1V1;;64.0;3.0;;50.0;
2016;I71S1C40J1V1;43.0;9.0;34.0;0.906976744;40.0;39.0
2016;I71S1C45J1V1;11.0;2.0;9.0;0.636363636;20.0;7.0
2016;I71S1C43J1V1;51.0;6.0;45.0;0.862745098;50.0;44.0
2016;I71S1C145J1V1;34.0;13.0;21.0;0.764705882;30.0;26.0
2016;I71S1C72J1V1;51.0;20.0;31.0;0.882352941;50.0;45.0
2016;I71S1C108J1V1;;35.0;4.0;;35.0;
2016;I71S1C104J1V1;46.0;38.0;8.0;0.956521739;50.0;44.0
2016;I71S1C110J1V1;;31.0;5.0;;35.0;
2016;I71S1C30J1V1;55.0;28.0;27.0;0.927272727;50.0;51.0
2016;I71S1C4J1V1;172.0;71.0;101.0;0.773255814;130.0;133.0
2016;I71S1C75J2V1;17.0;12.0;5.0;0.941176471;20.0;16.0
